DealerName,PostalAddress,City,State,ZipCode,Country,Phone,LocatorLatitude,LocatorLongitude,Website,Brand
Farley and Hysaw Heating and Air Conditioning,603 41st St,Tuscaloosa,AL,35405,United States,205-737-3979,33.1197,-87.5295000000002,http://www.farleyandhysaw.com,Carrier
Nelms Heating & Cooling,23349 Pepper Farm Ln,Elkmont,AL,35620,United States,256-278-4539,34.921,-86.9239,,Carrier
A-1 Services Inc,3805 Old Highway 431,Owens Cross Roads,AL,35763,United States,256-756-4569,34.611,-86.4644000000003,,Carrier
"Tipton Heating and Cooling, Inc",1678 Joe Quick Rd,New Market,AL,35761,United States,256-829-2844,34.9151,-86.4085,,Carrier
Macky Tucker Htg & Clg,25755 Stinnett Hollow Rd,Athens,AL,35614,United States,256-262-8845,34.8829,-87.0601000000003,,Carrier
AllPro Heating & A/C,20212 Gilcrest Rd.,Athens,AL,35614,United States,256-763-0908,34.8829,-87.0601000000003,,Carrier
Superior Heating & Air Inc.,28731 Capshaw Rd,Harvest,AL,35749,United States,256-801-4864,34.8338,-86.7377000000003,,Carrier
H. C. Blake,406 Holmes Ave NW,Huntsville,AL,35801,United States,256-469-3516,34.7252,-86.5615999999998,,Carrier
Mitchell&s Htg & A/C,15805 US Hwy 231 South,Lacey Springs,AL,35754,United States,256-715-6644,34.4855,-86.6281,,Carrier
Conditioned Air Solutions,200 Dan Tibbs Rd NW,Huntsville,AL,35806,United States,256-715-6645,34.7679,-86.6828999999998,,Carrier
Air Care  Systems,PO Box 1621,Huntsville,AL,35807,United States,256-715-6891,34.7119,-86.6546000000001,,Carrier
"East, Joe Heating and Air Conditioning",2011 Poole Dr NW,Huntsville,AL,35810,United States,256-203-0035,34.8004,-86.6050000000001,http://www.joeeasthvac.com,Carrier
Comfort Control,1071 Highway 231,Laceys Spring,AL,35754,United States,256-715-9991,34.4855,-86.6281,,Carrier
Air Conditioning by Luquire,1155 N Eastern Blvd,Montgomery,AL,36117,United States,334-954-1964,32.3839,-86.1443999999998,http://www.acbyluquire.com,Carrier
Accutemp,805 Jamerson Rd,Marietta,GA,30066,United States,678-813-1933,34.0334,-84.5091,,Carrier
Tillery Heating & Air Conditioning,2360 S Forbes Dr,Montgomery,AL,36110,United States,334-954-1978,32.4418,-86.2540000000001,,Carrier
P & S Heating and Air Conditioning,3230 County Road 11,Heflin,AL,36264,United States,256-294-4847,33.6126,-85.6035000000002,,Carrier
Snellgrove and Caylor Heating and Cooling,3790 Highway 84,Daleville,AL,36322,United States,334-392-7510,31.2347,-85.7586000000001,,Carrier
Southeastern Cooling,3935 Reeves St,Dothan,AL,36303,United States,334-370-1401,31.271,-85.3922999999998,,Carrier
Comfort Solutions Heating and Cooling,9098 Hard Dr,Foley,AL,36535,United States,251-616-3200,30.3794,-87.7151000000001,http://www.comfortsolutionscooling.com/,Carrier
"Climatemp Cooling & Heating, Inc.",103 State Highway 59 S,Summerdale,AL,36580,United States,251-616-6258,30.4824,-87.7037,,Carrier
"American Air Solutions, Inc.",22711 US Highway 98,Foley,AL,36535,United States,251-616-3445,30.3794,-87.7151000000001,,Carrier
All Seasons Service Network,89 E Blount St,Pensacola,FL,32501,United States,850-972-1799,30.4205,-87.2233999999999,http://www.allseasonsservicenet.com,Carrier
Davies Air Design,3746 Halls Mill Rd,Mobile,AL,36693,United States,251-272-5826,30.6274,-88.1508000000001,,Carrier
Dallas A/C and Heating,3900 US Highway 80 W,Selma,AL,36701,United States,334-526-0461,32.4494,-87.0177999999999,,Carrier
Oasis Heat/Air,1026 County Road 173,Opelika,AL,36801,United States,334-610-1970,32.6833,-85.4034000000003,,Carrier
Kelley&s Heat/Air,10973 County Road 34,Dadeville,AL,36853,United States,256-853-0386,32.8401,-85.7361999999999,,Carrier
Sam Hewitt Services,4444 Miller Rd,Columbus,GA,31909,United States,762-821-0834,32.5424,-84.9246000000002,,Carrier
"Conditioned Air, Inc.",241 South St,Macon,GA,31206,United States,478-239-2144,32.7882,-83.6652,http://www.conditionedairinc.com/,Carrier
Marlowe Electric,2210 S Main St,Linden,AL,36748,United States,334-357-5373,32.2835,-87.8145,,Carrier
Rice Heating and Air Conditioning,303 E Washington St,Demopolis,AL,36732,United States,205-575-9098,32.4249,-87.8861000000001,http://www.ricehvac.com,Carrier
Clarke-Air Inc,161 N Jackson St,Grove Hill,AL,36451,United States,334-357-5294,31.6351,-87.7372999999999,,Carrier
Northside Heating and Cooling,P.O. BOX 1236,Benton,AR,72018,United States,501-722-4943,34.5644,-92.5864000000001,http://www.northsidehvac.com,Carrier
Glenn Mechanical,512 W Hillsboro St,El Dorado,AR,71730,United States,870-639-4671,33.1732,-92.6868,,Carrier
Scott Systems,P O BOX 2466,Pine Bluff,AR,71613,United States,870-663-0044,34.1388,-92.1077999999998,,Carrier
Eagle Heat and Air,305 Broadway St,Hot Springs National Park,AR,71901,United States,501-762-0992,34.5331,-93.0035000000002,http://www.eagleheatandair.com,Carrier
Hollis Heating Air Conditioning Inc,3413 Patmos Rd,Hope,AR,71801,United States,870-533-5620,33.6362,-93.5878,,Carrier
Central Air Conditioning & Plumbing,450 S Kings Hwy,Texarkana,TX,75501,United States,903-255-7513,33.3633,-94.2141,http://www.central-air.com,Carrier
Moore&s Air Cond & Heating Inc,1100 Hawn Ave,Shreveport,LA,71107,United States,318-716-7345,32.5955,-93.8641999999999,,Carrier
Laroy Thomas Inc,2705 Richmond Rd,Texarkana,TX,75503,United States,430-562-2879,33.5173,-94.1187000000002,,Carrier
Delta Mechanical Group,1879 Sparrow Rdg,Haughton,LA,71037,United States,318-674-4301,32.5391,-93.5257,,Carrier
Southern Air of Shreveport,1333 Southern Ave,Shreveport,LA,71101,United States,318-716-7240,32.5051,-93.7448,,Carrier
Premier Plumbing Htg Clg,2530 Linwood Ave,Shreveport,LA,71103,United States,318-716-7251,32.4909,-93.7712000000002,,Carrier
T D Refrigeration Inc,1907 Claiborne Ave,Shreveport,LA,71103,United States,318-716-7375,32.4909,-93.7712000000002,,Carrier
Air Ref Inc,4110 Curtis Ln,Shreveport,LA,71109,United States,318-716-7339,32.4646,-93.8136999999998,http://www.airrefinc.com,Carrier
"Moore Heat & Air, LLC",15 Commercial Dr,Cabot,AR,72023,United States,501-436-3004,34.9494,-92.0505,http://www.mooreheatair.com,Carrier
Freyaldenhoven Mechanical,1101 Front St,Conway,AR,72032,United States,501-205-4002,35.0822,-92.3659999999999,,Carrier
AIR SOLUTIONS OF ARKANSAS,3 BEAVER RD,Conway,AR,72032,United States,501-358-4601,35.0822,-92.3659999999999,,Carrier
Mauldins Inc,1220 Harkrider St,Conway,AR,72032,United States,501-803-6849,35.0822,-92.3659999999999,,Carrier
Lonoke Service Company,P.O. BOX 503,Lonoke,AR,72086,United States,501-404-0042,34.7557,-91.9476000000001,,Carrier
Westmoreland Heating and Air Conditioning,139 Murray Ave,Wynne,AR,72396,United States,870-362-2301,35.2584,-90.8369000000002,http://www.westmorelandhvac.com,Carrier
Kennedy Air Conditioning and Plumbing,8412 Highway 107,Sherwood,AR,72120,United States,501-436-3324,34.8824,-92.2205999999998,,Carrier
Absolute Comfort Heating and Air,3711 Homewood Rd,Memphis,TN,38118,United States,901-321-0734,35.0368,-89.9298000000002,http://www.absolutecomforthvac.com,Carrier
Automatic Air Conditioning and Heating,3470 Tchulahoma Rd,Memphis,TN,38118,United States,901-410-0753,35.0368,-89.9298000000002,https://itsautomatic.com,Carrier
American Refrigeration Heating and Air Conditioning Inc,8815 MWC Road,Olive Branch,MS,38654,United States,901-440-2597,34.911,-89.8126999999999,http://www.americanrefrigeration.com,Carrier
Choate&s Air Conditioning & Heating Inc.,820 Herbert Rd,Cordova,TN,38018,United States,901-206-2150,35.1373,-89.7731999999998,,Carrier
Roy May Heating and Air Conditioning,9489 Cordova Park Rd,Cordova,TN,38018,United States,901-614-4941,35.1373,-89.7731999999998,,Carrier
Conway Services LLC,1220 Big Orange Rd,Cordova,TN,38018,United States,901-440-2417,35.1373,-89.7731999999998,,Carrier
JENKINS HEATING & AIR,8967 Highway 310 W,Como,MS,38619,United States,662-426-1453,34.5041,-89.8908999999999,,Carrier
"Air and Heat Service Co, Inc.",126 Tuttle Ln,Byhalia,MS,38611,United States,662-253-7119,34.8777,-89.6824999999997,http://www.airandheatservices.com,Carrier
Knight Heat & Air,239 Bryanna Ln,Munford,TN,38058,United States,901-206-2752,35.4531,-89.8201000000001,,Carrier
Lacy Heating & Cooling,P.O. BOX 116,Tumbling Shoals,AR,72581,United States,501-429-4398,35.5531,-91.9495000000002,,Carrier
Central Heating and Cooling,1585 South College Street,Mountain Home,AR,72653,United States,870-376-0456,36.2902,-92.3897000000003,http://www.centralheatingandcooling.net,Carrier
AC Service Co of Arkansas,PO Box 312,Springdale,AR,72765,United States,479-320-2662,36.196,-94.1008999999999,http://www.acserviceofarkansas.com,Carrier
Adkins Refrigeration,5579 Highway 23 N,Eureka Springs,AR,72631,United States,501-365-2795,36.4778,-93.7346000000002,,Carrier
Dependable Inc,3904 S Arkansas Ave,Russellville,AR,72802,United States,501-915-6569,35.2806,-93.1807,http://www.dependable-air.com,Carrier
"Freddie Rood Heating & Cooling, Inc.",4810 W. Main Street,Russellville,AR,72801,United States,501-226-4089,35.2811,-93.1389000000002,,Carrier
Kiene Heat and Air Inc,908 S Highway 252,Charleston,AR,72933,United States,479-308-8119,35.3373,-94.0194000000002,,Carrier
Airco Service Supply,117 N 28th St,Van Buren,AR,72956,United States,479-689-4852,35.458,-94.2992000000002,http://www.aircoservices.com,Carrier
Oren Atchley Co,3100 Wheeler Ave,Fort Smith,AR,72901,United States,479-310-0983,35.3642,-94.4157999999999,,Carrier
Efficiency Mechanical,12247 S Gilbert Rd,Gilbert,AZ,85296,United States,480-428-8583,33.3396,-111.7587,http://effmech.com,Carrier
Ace Home Services,3321 E Atlanta Ave,Phoenix,AZ,85040,United States,602-842-0635,33.4044,-112.028,http://www.acehomeaz.com,Carrier
Chas Roberts Air Conditioning,9828 N 19th Ave,Phoenix,AZ,85021,United States,480-900-5991,33.5597,-112.0949,http://chasroberts.com,Carrier
Sterling Services,7256 S 89th Pl,Mesa,AZ,85212,United States,602-730-7936,33.3411,-111.6221,http://SterlingAir.us,Carrier
Adams Refrigeration Co.,1824 N 35th Ave,Phoenix,AZ,85009,United States,480-582-0622,33.4471,-112.1303,http://www.coolmyhome.com,Carrier
Mid-State Refrigeration,15166 W Jimmie Kerr Blvd,Casa Grande,AZ,85122,United States,520-413-9956,32.899,-111.7455,http://www.midstaterefrig.com,Carrier
Western States Home Services LLC,3065 N Norfolk,Mesa,AZ,85215-8522,United States,480-887-4562,33.5316,-111.6458,http://www.westernstateshomeservices.com,Carrier
Honest Air Inc,2942 N Greenfield Rd,Mesa,AZ,85215-2429,United States,480-900-3620,33.5316,-111.6458,http://www.honestairconditioning.net,Carrier
Red Mountain Air Conditioning,PO Box 707,Gilbert,AZ,85299,United States,623-850-3915,33.3526,-111.7883,http://www.redmountainair.com,Carrier
"A/C Concepts Mechanical, Inc",10317 E Irwin Ave,Mesa,AZ,85209,United States,480-400-9343,33.3773,-111.6595,http://www.acconceptsmechanical.com,Carrier
CCS Heating and Air Conditioning,912 E Javelina Ave,Mesa,AZ,85204,United States,480-900-6126,33.397,-111.7885,http://www.ccshvac.net,Carrier
Arizona Fire & Ice Cooling & Heating Inc.,18 E Irvine Rd,Phoenix,AZ,85086,United States,480-447-4208,33.8348,-112.071,http://www.azfireandice.com,Carrier
Feel Better Instantly,PO Box 5455,Peoria,AZ,85085,United States,602-730-7541,33.7912,-112.0644,http://www.fbihvac.com,Carrier
Cool Zone A/C & Heating LLC,8642 N 78th Ave #2,Peoria,AZ,85345,United States,480-900-5207,33.5735,-112.2595,http://www.coolzoneair.com/,Carrier
Jaycox Air Conditioning & Heating,13041 W Grand Ave,Surprise,AZ,85374,United States,480-428-8525,33.6321,-112.3824,http://www.jaycoxac.com,Carrier
Desert Foothills AC,35880 N. Creekview Lane,Cave Creek,AZ,85331,United States,480-900-6209,33.8412,-111.9172,http://www.desertfoothillsac.com,Carrier
Record Energy Concepts,818 S. Plumer,Tucson,AZ,85719,United States,520-485-4662,32.2456,-110.9484,http://www.recordenergyconcepts.com,Carrier
SAYCO,350 E Prince Rd,Tucson,AZ,85705,United States,520-276-4711,32.2724,-110.9936,http://www.sayco.com,Carrier
"D&J Air Conditioning, Inc.",2091 W Jim Howard Pl,Tucson,AZ,85705,United States,520-612-0540,32.2724,-110.9936,http://www.dandjair.com,Carrier
American Conditioned Air Inc,107 W Blacklidge Dr,Tucson,AZ,85705,United States,520-276-4499,32.2724,-110.9936,http://www.americanconditionedairaz.com/,Carrier
S and S Air Conditioning and Heating,5665 E 22nd St,Tucson,AZ,85711,United States,520-314-8937,32.2154,-110.8848,http://www.sandsairconditioning.com,Carrier
Temco Air Environmental,3136 E Grant Rd,Tucson,AZ,85716,United States,520-276-4602,32.2436,-110.9238,http://www.tucsonheatingandcooling.com/,Carrier
Top Rank Heating & Air Conditioning,9100 Elkmont Dr,Elk Grove,CA,95624,United States,916-512-1550,38.4313,-121.306,http://www.toprankhvac.com,Carrier
"RJA HEATING & AIR CONDITIONING, INC.",8440 Belvedere Ave,Sacramento,CA,95826,United States,916-341-9035,38.5421,-121.3778,http://rjaheatandair.com,Carrier
Sonray Service Team,1630 Main Ave,Sacramento,CA,95838,United States,916-259-5685,38.6463,-121.4453,,Carrier
Alpha Heating & Air,907 Lawnsdale Rd,Medford,OR,97504,United States,541-690-8907,42.3323,-122.7777,,Carrier
United Mechanical Contractors,2219 Washburn Way,Klamath Falls,OR,97603,United States,541-887-0984,42.1841,-121.6587,http://www.umc-hvac.com,Carrier
Reliable A/C & Heating Inc.,5719 Auckland Ave,North Hollywood,CA,91601,United States,818-643-7274,34.1679,-118.3721,http://www.reliableacandheat.com,Carrier
George Haney and Son Inc,1260 Lincoln Ave,Pasadena,CA,91103,United States,818-945-0656,34.1664,-118.1652,http://www.georgehaneyair.com,Carrier
L&R Heating and Air Conditioning,20940 Normandie Ave,Torrance,CA,90502,United States,424-271-0603,33.8359,-118.2928,http://www.lrhvacinc.com,Carrier
Air Works,22134 S Vermont Ave,Torrance,CA,90502,United States,424-257-1001,33.8359,-118.2928,http://www.airworksac.com,Carrier
Zodiac Heating & Air Conditioning Inc.,14411 Gilmore St,Van Nuys,CA,91401,United States,818-906-4407,34.1781,-118.4316,http://www.zodiachvac.com,Carrier
CARTER SERVICES INC,2807 Oregon Ct,Torrance,CA,90503,United States,424-271-0639,33.8408,-118.3537,http://www.carterservices.com,Carrier
Bryant Heating & Air,2075 E. Villa Street,Pasadena,CA,91107,United States,626-988-9253,34.1588,-118.0871,http://bryantheatandair.com,Carrier
Palisades Heating and Air Conditioning,16706 Bollinger Dr,Pacific Palisades,CA,90272,United States,424-645-5469,34.0794,-118.5464,http://www.palisadesair.com,Carrier
Bowman of Arcadia,157 E Santa Clara St,Arcadia,CA,91006,United States,626-247-8381,34.138,-118.0283,http://www.bowmanofarcadia.net,Carrier
Air Products & Services,15735 Strathern St,Van Nuys,CA,91406,United States,747-233-5072,34.198,-118.49,http://www.airproductsinc.com,Carrier
Alber&s Inc,14617 Ramona Blvd,Baldwin Park,CA,91706,United States,626-593-0645,34.0941,-117.9709,http://www.albersair.com,Carrier
Certified Service,309 W Verdugo Ave,Burbank,CA,91502,United States,747-200-1467,34.1771,-118.3096,http://www.certifiedac.net,Carrier
Brody-Pennell Heating and Air Conditioning Inc,2718 S Robertson Blvd,Los Angeles,CA,90034,United States,424-209-4678,34.0306,-118.3997,http://www.brodypennell.com,Carrier
General Heating and Air Conditioning Inc,1310 S Myrtle Ave,Monrovia,CA,91016,United States,626-386-8423,34.1677,-117.9828,http://www.generalheatingandair.com,Carrier
R.D. Smith Heating & A/C,850 W Foothill Blvd,Azusa,CA,91702,United States,626-385-4925,34.1312,-117.9157,http://www.rdsmithhvac.com,Carrier
Andrew D Cooper Co,543 S Central Park Ave E,Anaheim,CA,92802,United States,657-999-2008,33.8084,-117.9237,http://www.adcooper.com,Carrier
Albert Air,1219 S State College Blvd,Fullerton,CA,92831,United States,657-217-3142,33.8793,-117.8962,http://www.albertair.com,Carrier
Complete Comfort Heating and Air,17450 Mount Herrmann St,Fountain Valley,CA,92708,United States,949-264-3585,33.7104,-117.9513,http://www.completecomfort-hvac.com,Carrier
Temperature Control Corp.,5211 Bascule Ave,Woodland Hills,CA,91364,United States,747-224-2628,34.1552,-118.5942,http://www.temp-control.com,Carrier
Canoga Park Heating and Air Conditioning,7227 Eton Ave,Canoga Park,CA,91303,United States,747-900-2031,34.1977,-118.6018,http://www.cphac.com,Carrier
Kahn Air Conditioning Inc,19434 Business Center Dr,Northridge,CA,91324,United States,747-224-2621,34.2385,-118.5501,http://www.kahnair.com,Carrier
"A.C. Cool, Inc.",1116 W Collins Ave,Orange,CA,92867,United States,714-453-4767,33.8143,-117.8277,http://www.accool.net,Carrier
"Horizon Htg. & A/C, Inc.",1400 N Jefferson St,Anaheim,CA,92807,United States,657-216-0710,33.8431,-117.7776,http://www.horizonheatingandair.com,Carrier
Dependable Graham,2952 Century Pl,Costa Mesa,CA,92626,United States,714-450-6611,33.6791,-117.9087,http://www.dependablegraham.com,Carrier
McLay Services,2036 Arrow Hwy,La Verne,CA,91750,United States,909-451-8357,34.1477,-117.752,http://www.mclayservices.com,Carrier
"All Four Seasons A/C and Heating, Inc.",5310 Derry Ave,Agoura Hills,CA,91301,United States,747-444-1549,34.1403,-118.7625,http://www.allfourseasons.com,Carrier
Comfort Control Corp,28338 Constellation Rd,Santa Clarita,CA,91355,United States,661-388-5929,34.4173,-118.5733,http://www.comfortz.com,Carrier
"Aladdin Air Conditioning and Heating, Inc.",1090 Lawrence Dr,Newbury Park,CA,91320,United States,805-273-4031,34.1496,-118.9783,http://www.aladdinac.com,Carrier
AC 911,530 New Los Angeles Ave,Moorpark,CA,93021,United States,747-224-2131,34.3188,-118.8656,http://www.ac911.com,Carrier
Family Air Conditioning,4450 Industrial St,Simi Valley,CA,93063,United States,805-624-5712,34.2903,-118.6872,http://www.familyair.com,Carrier
SCHAEF AIR,9057 Arrow Rte,Rancho Cucamonga,CA,91730,United States,909-581-9809,34.1001,-117.5826,http://schaefair.com/,Carrier
Ideal Comfort Heating & Cooling Corporation,10060 4th St,Rancho Cucamonga,CA,91730,United States,909-581-9231,34.1001,-117.5826,http://www.idealcomfort.com,Carrier
"Redlands Plumbing Htg., & A/C",1670 Sessums Dr,Redlands,CA,92374,United States,909-747-9071,34.0652,-117.1635,http://www.plumbingandair.com,Carrier
Davidson&s Air Conditioning and Heating,495 S Sierra Way,San Bernardino,CA,92408,United States,909-453-2371,34.0871,-117.2762,http://www.davidsonsairandheat.com,Carrier
Airplus of California,411 Leroy Dr,Corona,CA,92879,United States,951-893-5870,33.8787,-117.5398,http://www.airplusca.com/,Carrier
AIREFORCE HEATING & AIR INC,9316 Abraham Way,Santee,CA,92071,United States,619-937-7012,32.851,-117.008,http://www.aireforceac.com/,Carrier
Camino Air Conditioning,13135 Claire Dr,Poway,CA,92064,United States,858-386-0830,32.9789,-117.0196,http://www.caminoair.com,Carrier
Aelott Air Conditioning,812 W Washington Ave,Escondido,CA,92025,United States,760-536-4305,33.0829,-117.0241,http://www.aelott.com,Carrier
"My Guy Heating and Air Conditioning, Inc",934 S. Andreasen Drive,Escondido,CA,92029,United States,760-203-5489,33.0829,-117.1371,,Carrier
ACUNAS POLAR AIR,187 Hillcrest Ln,Ramona,CA,92065,United States,858-413-7609,33.0538,-116.8517,http://www.acunaspolaraire.com,Carrier
"A+ Heating, Cooling & Electric",1165 Linda Vista Dr,San Marcos,CA,92078,United States,760-571-9415,33.1215,-117.1617,http://www.sandiegoheatingandcooling.com/,Carrier
Cal-West Air Conditioning,1637 E Valley Pkwy,Escondido,CA,92027,United States,760-536-4264,33.1406,-116.9876,http://www.calwestair.com,Carrier
Specialized Mechanical,120 N Pacific St,San Marcos,CA,92069,United States,760-356-8638,33.1507,-117.1748,http://www.specializedhvac.com,Carrier
Surfside Heating & Air,6351 Corte del Abeto,Carlsbad,CA,92011,United States,760-566-7446,33.1508,-117.306,http://www.surfsideair.com,Carrier
Lomack Service Corporation,2259 S Santa Fe Ave,Vista,CA,92083,United States,760-659-3443,33.1972,-117.2617,http://www.lomackservice.com,Carrier
U S HEATING & COOLING,2739 Via Orange Way,Spring Valley,CA,91978,United States,619-567-6101,32.7027,-116.9379,http://www.usheatandcool.com/Home/,Carrier
1st Choice Plumbing Heating & Air,4083 Oceanside Blvd,Oceanside,CA,92056,United States,760-412-5052,33.2009,-117.2856,http://1stchoiceplumbingsd.com/,Carrier
Sheldon&s Heating and Air Conditioning,3401 Gato Ct,Riverside,CA,92507,United States,888-498-2915,33.9841,-117.3299,http://sheldonsservice.com,Carrier
"Allison Air Conditioning & Heating, Inc",369 E Harrison St,Corona,CA,92879,United States,951-547-2604,33.8787,-117.5398,http://www.allisonhvac.com,Carrier
Steve&s Five Star Service,665 N Central Ave,Upland,CA,91786,United States,909-285-1426,34.1048,-117.6625,http://www.stevesair.com,Carrier
Amber Air Conditioning,29885 2nd St,Lake Elsinore,CA,92532,United States,951-291-9682,33.6843,-117.2971,http://www.amberairconditioning.com,Carrier
J & M Air Conditioning,395 W Esplanade Ave,San Jacinto,CA,92583,United States,951-327-5619,33.7938,-116.92,http://www.jmairnheat.com,Carrier
Pro Flo Air Conditioning & Heating Inc.,26692 Pierce Cir,Murrieta,CA,92562,United States,951-428-3876,33.5484,-117.2689,http://proflohvac.com/,Carrier
Excel Heating & Air Conditioning,41083 Sandalwood Cir,Murrieta,CA,92562,United States,951-387-6892,33.5484,-117.2689,http://www.excelhvactemeculaca.com/,Carrier
Aliso Air Inc,29736 Avenida De Las Banderas,Rancho Santa Margarita,CA,92688,United States,949-229-3674,33.634,-117.6061,http://www.alisoair.com,Carrier
Kemnitz Air Conditioning and Heating,188 Technology Dr,Irvine,CA,92618,United States,949-242-0667,33.6828,-117.7254,http://www.kemnitzhvac.com,Carrier
McMaster Air & Heat,2 McLaren,Irvine,CA,92618,United States,949-682-8965,33.6828,-117.7254,http://www.mcmasterair.com,Carrier
Alicia Air Conditioning & Heating,26824 Vista Ter,Lake Forest,CA,92630,United States,949-427-9659,33.649,-117.6848,http://www.aliciaair.com,Carrier
Crocker Refrigeration Heating & Air,733 Carpinteria St,Santa Barbara,CA,93103,United States,805-699-5977,34.4359,-119.6816,http://www.crockerair.com,Carrier
"GW Richardson Heating and Air Conditioning, Inc.",28231 Avenue Crocker,Valencia,CA,91355,United States,661-505-1080,34.4173,-118.5733,http://gwrichardsonac.com,Carrier
Santa Clarita Custom Air,23870 Pine St,Newhall,CA,91321,United States,661-347-5787,34.3744,-118.4762,http://www.santaclaritacustomair.com/,Carrier
HARBER HEATING & AIR,186 Dawson Dr,Camarillo,CA,93012,United States,805-702-0791,34.1954,-119.0036,http://www.harberheatingandair.com,Carrier
Anacapa Heating & Air,601 Del Norte Blvd,Oxnard,CA,93030,United States,805-604-8185,34.2072,-119.1698,http://www.anacapaheatingandair.com,Carrier
ABC Cooling & Heating / Allbritten,2705 N Larkin Ave,Fresno,CA,93727,United States,559-500-3349,36.7493,-119.7091,http://www.allbritten.com/,Carrier
American Inc.,1345 N American St,Visalia,CA,93291,United States,559-697-4114,36.3862,-119.3699,http://www.aminc.com,Carrier
Pro Air HVAC Inc.,405 E 19th St,Bakersfield,CA,93305,United States,661-520-5387,35.3879,-118.9851,http://proairhvacinc.com/,Carrier
Gundlachs Plumbing & Sheet Metal,4415 Foster Ave,Bakersfield,CA,93308,United States,661-520-5349,35.5751,-118.9647,http://www.gundlachservice.com,Carrier
Hubbell Air,5403 Moraga Ct,Bakersfield,CA,93308,United States,661-520-5257,35.5751,-118.9647,http://www.hubbellair.com,Carrier
Air Left Heating & Air Conditioning,P.O. Box 2287,Atascadero,CA,93423,United States,805-250-0416,35.4896,-120.6698,,Carrier
Western Equipment Service,249 E Avenue K8,Lancaster,CA,93535,United States,661-522-0116,34.7192,-117.8846,http://www.westernequipmentservice.com/,Carrier
Purl&s Sheet Metal & Air Conditioning,232 S Schnoor St,Madera,CA,93637,United States,559-598-7980,36.9046,-120.1728,http://www.purlsheetmetal.com,Carrier
"Lee&s Accu-Tech Service, Inc.",5456 W Mission Ave,Fresno,CA,93722,United States,559-825-4724,36.7968,-119.9313,http://www.leesair.com/,Carrier
Jack&s Refrigeration Inc.,2539 Simpson St,Kingsburg,CA,93631,United States,559-238-7576,36.4785,-119.5245,http://www.jacksref.com,Carrier
